FID,1023Ratio,1024Ratio,1025Ratio,1026Ratio,1027Ratio,1028Ratio,1029Ratio,1030Ratio,1031Ratio,1101Ratio,
0,0.0011,0.0011,0.0076,0.0294,0.0469,0.2029,0.5323,0.2890,0.1145,0.0883,
1,0.0000,0.0011,0.0179,0.0246,0.0391,0.1555,0.3814,0.2025,0.0403,0.0246,
2,0.0000,0.0000,0.0053,0.0158,0.0105,0.0527,0.2211,0.1369,0.0474,0.0000,
3,0.0000,0.0000,0.0000,0.0060,0.0664,0.1690,0.3440,0.2113,0.0362,0.0302,
4,0.0000,0.0058,0.0186,0.0220,0.0464,0.1820,0.4278,0.2226,0.0800,0.0417,
5,0.0000,0.0036,0.0073,0.0219,0.0292,0.1824,0.3795,0.1533,0.0511,0.0511,
6,0.0000,0.0000,0.0065,0.0065,0.0327,0.1506,0.4322,0.1965,0.0393,0.0393,
7,0.0000,0.0000,0.0253,0.0253,0.0422,0.1942,0.4053,0.1604,0.0169,0.0253,
8,0.0000,0.0036,0.0291,0.0874,0.1967,0.4371,0.7685,0.5318,0.2149,0.1894,
9,0.0011,0.0033,0.0055,0.0221,0.0442,0.2320,0.5248,0.3270,0.1746,0.0972,
10,0.0022,0.0000,0.0000,0.0290,0.0579,0.1716,0.4123,0.2719,0.1092,0.0579,
11,0.0000,0.0000,0.0058,0.0156,0.0545,0.1713,0.4497,0.2667,0.0934,0.0331,
12,0.0000,0.0000,0.0000,0.1028,0.3701,0.4318,0.8945,0.7197,0.6169,0.1542,
13,0.0000,0.0000,0.0000,0.0127,0.0765,0.2486,0.5354,0.3442,0.0446,0.0255,
14,0.0013,0.0064,0.0064,0.0319,0.0472,0.1888,0.4592,0.3635,0.1543,0.1237,
15,0.0069,0.0035,0.0278,0.0208,0.0555,0.2428,0.7284,0.3434,0.0555,0.0382,
16,0.0016,0.0000,0.0047,0.0110,0.0773,0.2885,0.7852,0.5786,0.2349,0.2538,
17,0.0000,0.0000,0.0000,0.0234,0.0857,0.1247,0.2415,0.2571,0.1247,0.0390,
18,0.0000,0.0000,0.0027,0.0164,0.0382,0.2537,0.4475,0.3083,0.1310,0.1010,
19,0.0037,0.0037,0.0012,0.0173,0.0494,0.2161,0.4421,0.2346,0.1111,0.0889,
20,0.0000,0.0000,0.0032,0.0508,0.0999,0.3046,0.6901,0.3411,0.2332,0.1745,
21,0.0000,0.0000,0.0081,0.0244,0.0447,0.1503,0.4530,0.3149,0.1503,0.1320,
22,0.0000,0.0017,0.0035,0.0642,0.0833,0.2341,0.4770,0.2151,0.1995,0.1786,
23,0.0000,0.0000,0.0020,0.0200,0.0479,0.1556,0.4369,0.3053,0.1057,0.0778,
24,0.0000,0.0000,0.0000,0.0000,0.0757,0.2270,0.5599,0.3783,0.0757,0.0303,
25,0.0000,0.0031,0.0031,0.0216,0.0433,0.1731,0.3401,0.3339,0.1144,0.0928,
26,0.0000,0.0000,0.0000,0.0000,0.0067,0.0737,0.2747,0.1273,0.0670,0.0603,
27,0.0000,0.0000,0.0056,0.0149,0.0708,0.1901,0.5051,0.2498,0.1174,0.0876,
28,0.0092,0.0184,0.0000,0.0276,0.0000,0.0920,0.3496,0.3128,0.1564,0.1012,
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0603,0.0000,0.0000,0.0000,0.0000,
30,0.0000,0.0000,0.0000,0.0288,0.0288,0.0960,0.3264,0.2112,0.0288,0.0096,
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1218,0.0000,0.0000,
